Winner,Move Count,Moves,Final Position
Black,26,d4 b5 b4 d6 Nf3 Bg4 Nfd2 h6 a3 Nf6 c4 Bh3 cxb5 a6 Bb2 e5 d5 Nfd7 Nc3 Nb6 Ncb1 Qf6 g4 Qd8 f3 Qh4#,rn2kb1r/2p2pp1/pn1p3p/1P1Pp3/1P4Pq/P4P1b/1B1NP2P/RN1QKB1R w KQkq - 1 14
Black,100,Nh3 b5 g4 Na6 Nf4 d6 Ne6 Bxe6 h4 Qd7 Bg2 Nb8 b4 d5 d3 c6 Bh3 Bxg4 Bf1 Qf5 Nc3 Bf3 Na4 c5 Bh3 c4 e3 cxd3 Nc3 Bxd1 Bf1 Nf6 Bb2 Bh5 a3 Nfd7 Rc1 Qe5 Ne4 Qg3 Bf6 Nc6 Rh3 Qxe3+ Rxe3 Nd8 Kd2 g6 Ba1 Bg4 Bg7 Rg8 Ree1 Nb8 Bh8 a5 Kc3 Bf3 Bf6 dxe4 Rb1 g5 bxa5 b4+ Kc4 gxh4 Kb5 Na6 Red1 exf6 Bh3 Bd6 Rg1 f5 Rbd1 Bxd1 cxd3 Bh5 Rc1 Rg7 Bg2 Kf8 Rc4 f4 Rc5 Rg8 Bf1 Ne6 Re5 Ng7 Ka4 Rb8 Rc5 Bxc5 Bg2 Bd6 d4 Rh8 d5 Bd1#,1r3k1r/5pnp/n2b4/P2P4/Kp2pp1p/P7/5PB1/3b4 w - - 1 51
White,123,d3 d6 h4 Bh3 Nxh3 g5 b3 h6 d4 Na6 Be3 b5 Rg1 h5 g4 Nb8 Nd2 a5 gxh5 g4 a4 Qd7 c3 c5 f3 c4 Qc1 f6 b4 Qc8 d5 Bh6 Rb1 axb4 Bg2 Rxa4 Bb6 Qc7 f4 f5 Kd1 Ra8 Bd4 Qa5 Ng5 Qa2 Nf7 Rh7 Ba7 Qa3 Rh1 Nf6 Bf2 b3 Nxb3 Bf8 Qd2 Nxh5 Nh6 Nf6 Bg1 Nc6 Kc2 Qa6 Re1 Bxh6 Bh2 Bxf4 Bg1 Bg3 Bb6 Qc8 Kb2 Qb8 Qg5 Nxd5 Bf3 cxb3 Rhg1 Bf2 Bxg4 Nc7 Qg6+ Kd8 Rgf1 Bxe1 Bh3 Bd2 Bf2 Rf7 e4 Qa7 Qh5 Qb7 c4 bxc4 Rg1 Ne6 Rg6 Kc7 Rxe6 fxe4 Rxd6 Rh7 Be6 Ra2+ Kb1 Na5 Qf7 Rb2+ Kxb2 Bf4 Rd4 Bc1+ Kc3 Rxh4 Rd1 Qa7 Qg8 Be3 Bd7 Bc1 Qc8#,2Q5/q1kBp3/8/n7/2p1p2r/1pK5/5B2/2bR4 b - - 7 62
Black,92,Nf3 e6 Ng5 Bb4 Ne4 Qh4 Nc5 Qh5 f4 c6 Rg1 Ne7 c4 b6 e4 f6 Qa4 Bxc5 b3 Bb4 f5 Rf8 Be2 Qg6 fxg6 a6 Kd1 Bxd2 Qa3 hxg6 Rh1 Bb4 Bd3 Be1 Bg5 Nd5 h3 Ba5 Bd2 Nc7 Bf1 Nd5 Bd3 Kf7 Ke2 Bb7 Rf1 b5 Qe7+ Kg8 Bh6 Nc7 Kd1 Rf7 Qd8+ Rf8 Rf5 Nd5 Qc7 Bb4 e5 Rf7 Kc2 bxc4 Nc3 Nxc3 Be4 Nd5 g3 Bd6 Bg5 Nf4 Qxc6 a5 bxc4 Ne2 Bxf6 Be7 Qc7 Bc5 Kb2 Bd5 Rh1 Ra7 Rh2 Na6 Bxd5 Rb7+ Ka1 Nc3 Re2 Rb1#,6k1/2Qp1rp1/n3pBp1/p1bBPR2/2P5/2n3PP/P3R3/Kr6 w - - 5 47
White,37,g3 Nc6 c4 h5 d4 a5 Qd3 Nxd4 Qh7 f6 b3 Ne6 Nd2 a4 b4 Ra5 Qc2 Rd5 Kd1 Rh7 Qf5 Kf7 Qxh5+ g6 f4 Nc5 Qg5 Rxd2+ Ke1 a3 f5 Rc2 Bxa3 d5 e4 Be6 Qxg6#,3q1bn1/1pp1pk1r/4bpQ1/2np1P2/1PP1P3/B5P1/P1r4P/R3KBNR b - - 0 19
Black,170,c4 b5 g4 e6 cxb5 d5 b4 e5 h4 Ne7 Nc3 f5 Rh2 Ng8 f3 Bxb4 Rg2 d4 Qc2 Kd7 Qb3 Nf6 a3 Ng8 gxf5 dxc3 Kd1 Ne7 Ra2 Bc5 Nh3 h5 Bb2 Rh6 f4 Rf6 Qb4 g6 Rg3 Rf8 e3 Bxb4 Be2 gxf5 fxe5 Re8 Ng5 Rf8 Bd3 Re8 Nh7 Ng6 Rg5 a6 Ra1 Qxg5 Bb1 Nc6 Ke1 Qg1+ Ke2 axb5 d4 Ke6 Ra2 f4 Kf3 Re7 Ba1 Na7 Bxc3 Kf7 Ba1 Qe1 Kg2 Bc3 Re2 Bxa1 Ng5+ Kg8 Kf3 Rg7 Nf7 c6 Rh2 Bd7 Rd2 Bc3 Nh6+ Kh8 Rd1 Bb4 e4 Qc3+ Kf2 Qxa3 Ng4 Qb2+ Bc2 Bc3 Nh6 Bxd4+ Ke1 Rb8 Rd2 Rh7 Bd1 Bc8 Bc2 Bf5 Nf7+ Rxf7 Kf1 Nxe5 Bb1 Qxb1+ Kg2 Rc7 Kh2 Re7 Ra2 Rbe8 Ra3 Qd3 exf5 Rg8 Ra4 c5 Ra2 Nf7 Ra5 Qxf5 Ra6 Qh7 Rh6 Nd8 Rc6 Qg6 Rb6 Re6 Rxb5 Re7 Ra5 f3 Kh3 Bf2 Kh2 Qe4 Rb5 Qd4 Kh1 Qf6 Rb6 Qa1+ Kh2 Rg1 Ra6 Kg8 Rg6+ Rg7 Kh3 Kf7 Rg2 Qa4 Rh2 Nb7 Rh1 R7g2 Rh2 Qxh4#,8/nn3k2/8/2p4p/7q/5p1K/5brR/6r1 w - - 0 86
White,65,h3 a6 d3 c6 Rh2 e5 Bh6 e4 d4 gxh6 f4 Bb4+ Kf2 d5 f5 Ba3 Qd2 f6 bxa3 Ne7 c3 b5 Ke1 Bb7 Qg5 Nc8 g4 Ra7 Rg2 Ne7 Nd2 fxg5 Nc4 Kd7 Rg3 Kc8 Nf3 Qe8 Nfe5 b4 Nxc6 Ng8 N4a5 Qd8 Nxa7+ Kc7 Rb1 Nc6 Rb3 Nb8 Rb1 Kb6 c4 Bc8 Rc3 Nd7 Rxb4+ Kxa5 Rf3 Ndf6 a4 Nh5 Ra3 Ng3 Nc6#,2bq2nr/7p/p1N4p/k2p1Pp1/PRPPp1P1/R5nP/P3P3/4KB2 b - - 4 33
Black,172,e4 d5 Qe2 a6 Qd1 f5 Bb5+ axb5 b4 c5 a4 e5 bxc5 Bxc5 g3 h5 Ra3 Be3 Ra2 b4 Ra3 Qd7 Ne2 Kf8 c4 Qe6 exd5 Rh6 Rg1 Nd7 d6 Ra5 c5 Bd4 Rf1 b5 Qc2 Rf6 Ra2 g6 f3 Bb2 Na3 Kg7 axb5 Nh6 Bxb2 Nf8 b6 Rf7 Qc4 Rf6 Qxe6 Ng8 Qe7+ Rf7 Nd4 Ra7 Rg1 Nh6 Nab5 h4 Ke2 Nd7 Ra3 Rc7 Ra7 b3 b7 Rxe7 Ke1 f4 Ra4 fxg3 f4 gxh2 Ra1 Rf7 Bc1 hxg1=Q+ Ke2 Kh7 Ra5 Kg7 c6 Rxc6 Bb2 Rc4 b8=Q Rxf4 Ra6 g5 Ra2 Qh1 Nc3 Ba6 Ba1 Qa8 Ra5 Rc8+ Ke1 Bb7 Nde2 Rc5 Nd1 Rd4 Rb5 Qxb8 Ndc3 Ba6 Kd1 Nf6 Rb6 Qh8 Rb5 Nh5 Rb4 Rc8 Rb8 Bb5 Kc1 Ng8 Ng3 Re8 Rc8 Ra4 d7 Rc4 Ne4 Rd8 Nc5 Qh6 Rc6 Qh8 Rc7 Rb4 Kb2 Rc8 Ka3 b2 Nb7 h3 dxc8=R+ Kg6 Nd5 Qf6 Rc3 Ne7 Rf3 Rf4 Ne3 Ra4+ Kxb2 Rf4 Ra8 Ng8 Rf8 Bd3 Rf1 Rxf1 Nd1 Qf7 Nd6 Kh7 Kc1 Qb3 Nf5 Rf4 Rf6 Rg4 Nh6 Qc2#,6n1/7k/5R1N/4p1pn/6r1/3b3p/2qP4/B1KN4 w - - 12 87
White,213,c3 g5 b4 Na6 Ba3 f5 Qa4 Nb8 Qb5 e5 Qb6 Bxb4 e3 Ke7 Ba6 Kf8 d3 Qf6 Bb2 Qd8 Nf3 Ba5 Bc4 Ke8 h3 d5 Kf1 Bb4 Qd4 Ba3 Qb6 Bb4 Bb3 Be6 Qxb7 Kf7 cxb4 Qe8 Bc2 a5 Ke1 Qf8 Nc3 Ne7 d4 exd4 Ne4 Kg7 Qb5 Qd8 Kd2 Qc8 Ne1 h6 g4 Bg8 Bxd4+ Kg6 Bb1 Nec6 Nf3 Qa6 Bc2 Ne5 Qd3 Qc6 Rh2 Na6 Qxa6 a4 Rf1 fxg4 Nc5+ Kg7 Bxe5+ Qf6 Rd1 Kf8 Bd3 h5 Ke1 Qd8 Bc4 gxf3 Qa5 c6 Bb2 Ke7 Qb5 Bh7 Rd2 Re8 Bh8 Bc2 Re2 Bd1 Be5 Rh8 Qb8 Rh6 Bb2 Rg6 Na6 Qd6 Qb6 Re8 e4 Kf8 Qb7 a3 Bd3 Qe5 Qf7+ Kxf7 Bb1 dxe4 Bc3 Qd4 h4 Re7 Kf1 Qd7 Nc7 Qd5 Rd2 Rge6 Rg2 Rg6 hxg5 Bb3 Kg1 Qd7 Rd3 Qe8 Rg4 Bc2 Bf6 e3 Rh4 Qg8 Na8 Re8 Be7 Rf8 Rd8 Re6 Re4 h4 Bd6 c5 Re8 Rexe8 g6+ Kf6 Bxf8 Qg7 Bxc5 Qd7 Nc7 Re7 Na8 Kg5 Bd6 Kh6 fxe3 Qc6 b5 Rh7 Bxc2 Rd7 Rd4 Re7 Bb1 Qc1+ Kf2 Qb2+ Kxf3 Qa1 Bc7 Re8 Rc4 Re7 Bf5 Kh5 Rc1 Qd4 Rb1 Re8 Re1 Qg4+ Kf2 Qg3+ Bxg3 Rxa8 Bb8 Ra6 Bg3 hxg3+ Ke2 Ra4 Bb1 Kg4 Be4 Kh3 Bf3 Rf4 Rg1 Kh4 Kd2 Kh3 e4 Kh2 Rh1#,8/8/6P1/1P6/4Pr2/p4Bp1/P2K3k/7R b - - 2 107
White,131,a3 c5 f4 h5 b3 g5 b4 Qa5 Nf3 b5 bxc5 Qxa3 Nh4 Bh6 Ra2 Qxc1 c4 gxh4 g4 Bg5 h3 bxc4 e3 c3 fxg5 Kf8 d3 Qc2 e4 Bb7 Rg1 d5 Nd2 a6 Rxc2 Nd7 Ke2 Nb8 Kf3 f6 Qb1 f5 Be2 Rh6 Qb3 Rf6 Qxd5 Rg6 Rf1 Bxd5 Rb2 Rg7 Rc1 f4 Bf1 e6 Rb6 Rf7 Rb7 a5 Bg2 e5 exd5 c2 Ra7 Rfxa7 Ke4 Na6 Kxe5 Re8+ Kd6 Re2 Rxc2 Rxd2 Bh1 Ra8 c6 Kf7 Rc4 Re2 Rd4 Nc5 Re4 Kf8 Rb4 Ra2 Kc7 Re8 Rb6 Ra4 g6 Re3 Bg2 Rxd3 d6 Rad4 Rb7 Nh6 gxh5 Re4 Rb5 Nf5 h6 Rg3 Rxc5 Rxh3 Bxh3 Ng3 Bg4 Nh1 Bd7 Re5 h7 a4 Be8 Re1 Bf7 a3 Kb7 Rd1 Rd5 Ra1 Bg8 h3 Kc8 Ke8 g7 a2 h8=N Rg1 Re5#,2K1k1BN/6P1/2PP4/4R3/5p2/7p/p7/6rn b - - 2 66
White,93,a3 e6 b4 Bxb4 h4 g5 hxg5 c5 g6 b6 g4 d5 Rh5 Qg5 f4 Nf6 fxg5 Rg8 Nc3 b5 Na4 d4 Nxc5 Bxc5 gxf7+ Kxf7 gxf6 Rg7 Rb1 e5 Bh3 Rxg4 c3 Bb4 Ra1 h6 Bf1 Be7 Rh2 Na6 Nf3 Rg8 Rh1 Rg4 Rh5 Kf8 e4 Bd8 Be2 Bd7 Nxd4 Rxe4 Rh2 Nb8 Nc6 Rf4 Qc2 Rxf6 d4 Rg6 Bh5 Be6 Qa4 Bf5 Kd1 Bh4 Be3 Bg3 Qxb5 a5 Nd8 exd4 Bd2 Bxh2 c4 Bc7 Kc1 Rg4 Qa6 Rxa6 Bxa5 Re6 Bb4+ Bd6 Kb2 Bxb4 Rd1 Rg8 Rd3 Be7 Rd1 Bb1 Nxe6#,1n3kr1/4b3/4N2p/7B/2Pp4/P7/1K6/1b1R4 b - - 0 47
White,119,Nc3 c6 Nh3 h6 d4 g5 a4 a6 Nb1 e5 Kd2 b6 dxe5 Ra7 Nf4 b5 g3 Qf6 exf6 Bb4+ Ke3 bxa4 Qxd7+ Kf8 Qh3 a5 Ke4 Be1 g4 Bxg4 Qh5 Ke8 Ne6 Bb4 b3 c5 bxa4 Ba3 Rxa3 Bf3+ Qxf3 Na6 Nf8 Nb8 Rb3 Na6 Nc3 Rh7 Nb5 Ne7 e3 Nb8 Qf4 Rh8 Qf5 Nd5 Nd4 Nb4 Bd3 Na2 Qf3 Rc7 Qe2 Rc6 Ng6 Na6 Nxc6 c4 Kf5 cxd3 f3 Rh7 Qd2 h5 Rb4 Rg7 Nge5 Rg6 Rb8+ Nxb8 Qe2 Rg7 Qf1 h4 Nxb8 d2 Qe2 h3 Nbc6 g4 Qd1 Rg6 f4 Nxc1 Qf1 d1=N Nd3 Ne2 Qf3 Rg5+ fxg5 Nf2 Nb2 Nd3 Qd5 Nb4 Nxa5 Ng1 Nb7 Na2 g6 g3 Qe6+ Kf8 c4 g2 Na5 gxh1=B Qc8#,2Q2k2/5p2/5PP1/N4K2/P1P5/4P2p/nN5P/6nb b - - 1 60
