Winner,Move Count,Moves,Final Position
Black,56,Nh3 Nf6 Nc3 Nc6 Nf4 e5 e4 d5 d4 Bd6 Nfxd5 Nxd5 Nxd5 f6 Nxf6+ Qxf6 f3 Qg5 c3 Qxg2 Bxg2 Be6 Be3 Nxd4 cxd4 c6 dxe5 Bxe5 Qd8+ Rxd8 O-O Kd7 Rad1+ Kc8 Rxd8+ Rxd8 Bxa7 Bxh2+ Kh1 Bd6 Bd4 Kb8 Be5 Bxe5 Kg1 Bd4+ Rf2 Bxf2+ Kh1 Rd1+ Kh2 Bd4 e5 Bxe5+ f4 Bxf4#,1k6/1p4pp/2p1b3/8/5b2/8/PP4BK/3r4 w - - 0 29
Black,42,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 a3 Nxd4 Bxd4 c6 Bxe5 fxe5 Nxd5 cxd5 Bb5+ Kf7 O-O+ Kg8 Qxd5 Qxd5 c3 Qxe4 Bd3 Qd5 Rf3 Qxd3 Rf8+ Rxf8 Rf1 Rxf1#,6kr/pp4pp/4b3/4p3/8/P1Pq4/1P4PP/5rK1 w - - 0 22
Black,44,Nf3 Nf6 b3 Nc6 Nc3 e5 e4 d5 d4 Bd6 Bd3 Be6 Be3 Nxe4 Bxe4 f6 Bxd5 Bxd5 Nxd5 Nxd4 Qxd4 c6 Qxe5+ fxe5 c3 cxd5 Nxe5 Bxe5 f3 Bxc3+ Kf1 O-O Re1 Rxf3+ Kg1 Rxe3 Rxe3 d4 Re8+ Qxe8 b4 Qe3+ Kf1 Rf8#,5rk1/pp4pp/8/8/1P1p4/2b1q3/P5PP/5K1R w - - 3 23
White,57,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 O-O Be6 Be3 Nxe4 Bxe4 f6 Bxd5 Bxd5 Nxd5 Nxd4 Qxd4 c6 Qxe5+ fxe5 c3 cxd5 Nxe5 Bxe5 f3 Bxh2+ Kh1 Bd6 Rae1 Qh4+ Kg1 Qf2+ Bxf2+ Kf8 Bxa7 Bc5+ Kh1 Re8 Bxc5+ Kg8 Rxe8+ Kf7 Rf8+ Rxf8 Bd6 Kg8 Kg1 Rxf3 Rxf3 d4 cxd4 Kh8 Rf8#,5R1k/1p4pp/3B4/8/3P4/8/PP4P1/6K1 b - - 2 29
White,49,Nf3 d5 Nc3 Bd7 e4 Nf6 d4 Nc6 Bd3 e5 Be3 Bd6 Nxe5 Bxe5 f3 Qc8 dxe5 Nxe4 Bb5 Nxc3 Bxc6 Bxc6 Rb1 f6 Qxd5 Bxd5 Bh6 fxe5 Bxg7 c6 Bxe5 O-O Bxc3 Qe6+ Be5 Qxe5+ Kf1 Rxf3+ Kg1 Qxh2+ Rxh2 Rf1+ Rxf1 Bxg2 Rxg2+ Kh8 c3 Rf8 Rxf8#,5R1k/pp5p/2p5/8/8/2P5/PP4R1/6K1 b - - 0 25
Black,42,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Ng1 Bd6 Nf3 Be6 Bd3 Nxe4 Bxe4 f6 Be3 dxe4 Nxe5 fxe5 f3 Nxd4 Qxd4 c6 fxe4 exd4 Bxd4 Qh4+ Kf1 O-O+ Kg1 Qxh2+ Rxh2 Rf1+ Rxf1 Bxh2+ Kh1 Bd6 Rf8+ Rxf8 Bxg7 Rf1#,6k1/pp4Bp/2pbb3/8/4P3/2N5/PPP3P1/5r1K w - - 1 22
Black,40,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 Ba6 Nxd4 Qxd4 c6 Bxb7 Bxd4 Bxc6+ Kf8 Bxd5 Bxc3+ Kf1 Qxd5 exd5 Bxd5 Bc5+ Kg8 Bxa7 Bc4+ Kg1 Rd8 Bd4 Bxd4#,3r2kr/6pp/5p2/8/2bb4/8/PPP3PP/R5KR w - - 0 21
Black,48,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 Qc1 Nxe4 Bxe4 f6 f3 dxe4 fxe4 Qxd4 Bxd4 Nxd4 O-O Bxh2+ Kh1 c6 Rf3 Bd6 Rxf6 O-O-O Rxe6 Nxe6 Qe3 Rhf8 Qxa7 Rf1+ Rxf1 Nd4 Qxb7+ Kxb7 Rf7+ Kb8 Rxg7 Rf8 Rxh7 Rf1#,1k6/7R/2pb4/8/3nP3/2N5/PPP3P1/5r1K w - - 1 25
White,53,g3 Nf6 Nf3 Nc6 Nc3 e5 e4 d5 d4 Bd6 Bd3 Be6 Be3 Nxe4 Bxe4 f6 Bxd5 Bxd5 Nxd5 Nxd4 Qxd4 c6 Qxe5+ Kf8 Qxd6+ Qxd6 c3 cxd5 O-O Rd8 Rae1 Qxg3+ fxg3 Kg8 Bxa7 Rf8 Bd4 Re8 Rxe8+ Kf7 Rf8+ Kxf8 Bc5+ Kg8 Bd6 d4 cxd4 Kf7 Ne5+ Ke8 Rxf6 Rf8 Rxf8#,4kR2/1p4pp/3B4/4N3/3P4/6P1/PP5P/6K1 b - - 0 27
White,55,Nf3 f5 Rg1 Nf6 Nc3 Ng8 e4 Nf6 d4 Nc6 Bd3 fxe4 Be3 exf3 Qxf3 e5 Qxf6 d5 Qxc6+ bxc6 f3 Bd6 Nxd5 cxd5 c3 c6 dxe5 Be6 exd6 Qxd6 O-O-O Qxh2 Bxa7 Qxg2 Bd4 Qxb2+ Kxb2 Rxa2+ Kxa2 O-O Rxg7+ Kh8 Rxh7+ Kg8 Rg7+ Kh8 Rf7+ Kg8 Rxf8+ Kxf8 Bc5+ Kg8 Rg1+ Kh8 Bd4#,7k/8/2p1b3/3p4/3B4/2PB1P2/K7/6R1 b - - 5 28
Black,54,Nf3 g6 Nc3 c5 e4 Nf6 d4 Nc6 Bd3 cxd4 Be3 dxc3 O-O cxb2 c3 e5 Nxe5 Nxe5 f3 Nxf3+ Qxf3 d5 Qxf6 Bd6 Qxd8+ Kxd8 exd5 Bxh2+ Kh1 f6 Rxf6 Be6 Rf8+ Rxf8 dxe6 Bd6 Rf1 Rxf1+ Bxf1 Rc8 Bd3 Bb4 Be2 Bxc3 Bd3 b1=Q+ Kh2 Qxd3 Kg1 Qxe3+ Kh2 Be5+ Kh1 Rc1#,3k4/pp5p/4P1p1/4b3/8/4q3/P5P1/2r4K w - - 4 28
Black,42,Nf3 Nf6 Nc3 e6 e4 Nc6 d4 d5 h4 Bd6 Bd3 Nxe4 b4 Nxc3 Be3 f6 O-O Nxd4 Nxd4 c6 f3 O-O Bxh7+ Kh8 Be4 Nxe4 fxe4 dxe4 c3 Bd7 Qh5+ Kg8 Qf7+ Kh7 Qxg7+ Kxg7 Nxe6+ Bxe6 Rxf6 Qxf6 Rf1 Qxf1#,r4r2/pp4k1/2pbb3/8/1P2p2P/2P1B3/P5P1/5qK1 w - - 0 22
Black,74,Nf3 Nf6 a3 Nc6 Nc3 e5 e4 Qe7 d4 b5 Bd3 d5 Be3 Be6 Nxe5 Nxe5 Bxb5+ c6 Ra2 Nxe4 Bxc6+ Nxc6 Qd3 Rd8 Qxe4 f6 f3 dxe4 fxe4 Nxd4 Bxd4 Rxd4 O-O Rxe4 Nxe4 Qc5+ Nxc5 Bxc5+ Rf2 Bxf2+ Kh1 Bd4 c3 O-O cxd4 Re8 Kg1 Rf8 a4 Re8 Ra1 Rf8 Rf1 Re8 Rxf6 gxf6 b4 Rf8 d5 Bxd5 b5 Bxg2 b6 Rf7 a5 Bd5 bxa7 Rxa7 Kf1 Bc4+ Kg1 Rg7+ Kh1 Bd5#,6k1/6rp/5p2/P2b4/8/8/7P/7K w - - 6 38
Black,88,a4 Nf6 Nf3 Nc6 b3 e5 Nc3 Rg8 e4 d5 d4 Bd6 Bd3 Be6 Be3 Nxe4 Bxe4 Rf8 Bxd5 f6 Bxc6+ bxc6 Nxe5 fxe5 f3 exd4 Qxd4 Qh4+ Qxh4 Rxf3 Qxh7 Bc4 Qxg7 Rxe3+ Kd1 Rxc3 Re1+ Be2+ Rxe2+ Re3 Rxe3+ Kd8 c3 Rc8 Qf6+ Kd7 Qxd6+ cxd6 Re7+ Kxe7 Rc1 Kf8 Ke1 Re8+ Kf1 Re1+ Rxe1 d5 Re8+ Kxe8 Kg1 Kf8 a5 Kg8 b4 d4 cxd4 Kh8 d5 a6 dxc6 Kg8 b5 axb5 Kh1 b4 Kg1 b3 Kh1 b2 Kg1 b1=Q+ Kf2 Qf5+ Kg1 Qc5+ Kh1 Qc1#,6k1/8/2P5/P7/8/8/6PP/2q4K w - - 6 45
White,69,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Rg1 Nxe4 Bxe4 f6 Kd2 Ba3 Bxd5 Bxb2 Bxc6+ Kf8 Nxe5 Bxc3+ Kxc3 Bb3 f3 Qxd4+ Kxb3 Qxe3+ c3 fxe5 Qd6+ cxd6 a4 Qxc3+ Kxc3 Re8 Bxb7 Rc8+ Bxc8 d5 Rgc1 d4+ Kb2 Kg8 Be6+ Kf8 Rc8+ Ke7 Re8+ Rxe8 Kb1 Rb8+ Kc1 Rc8+ Kb1 Rc1+ Kxc1 Kxe6 Kb1 Kf7 Ra2 Kg8 Rf2 e4 fxe4 Kh8 Rf8#,5R1k/p5pp/8/8/P2pP3/8/6PP/1K6 b - - 2 35
White,39,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 Bg4 dxe5 f6 Nxd5 Qxd5 c3 fxe5 exd5 Be6 dxc6 O-O cxb7 c6 Bxh7+ Kh8 Be4 Rf1+ Rxf1 Rf8 Rxf8+ Bg8 Qh5#,5Rbk/pP4p1/2p5/4p2Q/4B3/2P1B3/PP4PP/R3K3 b Q - 2 20
White,43,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Nxd5 Qc8 c3 Bxd5 exd5 O-O dxc6 Rf1+ Rxf1 Qe6 cxb7 c6 Qe2 Qxa2 Bxh7+ Kh8 Be4 Qxb2 Rxa7 Qxe2+ Kxe2 Rxa7 Rf8#,5R1k/rP4p1/2p5/4p3/4B3/2P1B3/4K1PP/8 b - - 1 22
White,47,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Nxd5 Qxd5 c3 Qxd3 Qxd3 O-O O-O-O Rae8 Rhf1 Rxf1 Rxf1 Bxa2 Qd1 Be6 Rf8+ Rxf8 Bxa7 Re8 Bd4 Nxd4 cxd4 c6 dxe5 Re7 Qd8+ Re8 Qxe8#,4Q1k1/1p4pp/2p1b3/4P3/4P3/8/1P4PP/2K5 b - - 0 24
Black,36,Nf3 Na6 Nc3 Nf6 e4 Nc5 d4 e5 Bd3 Nxd3+ cxd3 d5 Be3 Bg4 Nxe5 c6 Nd7 Bxd7 f3 Bd6 Nxd5 cxd5 exd5 Nxd5 Qa4 Qf6 Bf2 Qe6+ Be3 Qxe3+ Kd1 Qxd3+ Kc1 Rc8+ Qc6 Rxc6#,4k2r/pp1b1ppp/2rb4/3n4/3P4/3q1P2/PP4PP/R1K4R w k - 0 19
White,77,c4 Nf6 Nf3 Nc6 Nc3 e5 e4 Be7 d4 d5 cxd5 Qxd5 Nxd5 Nxd5 exd5 f6 dxc6 Be6 cxb7 c6 Bd3 exd4 Be3 Bd6 Nxd4 O-O Bxh7+ Kh8 f3 Rae8 Be4 Kg8 Nxe6 Rxe6 Qxd6 Rxd6 Bd5+ cxd5 O-O Rdd8 Rae1 Rfe8 Bxa7 Rxe1 Bd4 Rxf1+ Kxf1 Rf8 Bxf6 Rxf6 b8=Q+ Rf8 Qxf8+ Kxf8 g3 Kg8 Kg1 d4 g4 Kh8 g5 Kg8 g6 Kh8 Kh1 Kg8 Kg1 Kh8 b4 Kg8 b5 Kh8 b6 Kg8 b7 Kh8 b8=Q#,1Q5k/6p1/6P1/8/3p4/5P2/P6P/6K1 b - - 0 39
White,57,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 g3 Be6 Be3 Nxe4 Bxe4 f6 Bxd5 Bxd5 Nxd5 Nxd4 Bf4 Nxf3+ Qxf3 c6 Qa3 cxd5 Kf1 O-O Qb3 Rc8 Qxd5+ Rf7 Qxf7+ Kxf7 Bxe5 Bc5 f3 fxe5 c3 Qd3+ Ke1 Qxc3+ bxc3 Kg8 Rf1 Bf2+ Rxf2 Rxc3 Rd1 Re3+ Kf1 Re1+ Rxe1 e4 fxe4 Kh8 Rf8#,5R1k/pp4pp/8/8/4P3/6P1/P6P/4RK2 b - - 2 29
White,39,Nf3 Nf6 Nc3 e5 e4 Nc6 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Nxd5 Qxd5 c3 Nb8 exd5 Nc6 dxc6 O-O cxb7 c6 Bxh7+ Kh8 Be4 Rf1+ Rxf1 Rf8 Rxf8+ Bg8 Qh5#,5Rbk/pP4p1/2p5/4p2Q/4B3/2P1B3/PP4PP/R3K3 b Q - 2 20
Black,54,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 Qe2 Nxc3 bxc3 f6 dxe5 fxe5 O-O O-O Bxh7+ Kh8 Be4 dxe4 fxe4 Rxf1+ Rxf1 Rc8 Rf8+ Qxf8 Qh5+ Kg8 Qxe5 a5 Qxg7+ Qxg7 Bd4 Qxd4+ cxd4 Nxd4 c3 c6 cxd4 Bxa2 e5 Be6 d5 cxd5 Kh1 Rc1#,6k1/1p6/4b3/p2pP3/8/8/6PP/2r4K w - - 2 28
White,33,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 Nb8 Bd3 Nc6 Be3 d5 Nxe5 Nxe5 dxe5 c6 Bd4 Bd6 exf6 Be6 fxg7 f6 f3 dxe4 fxe4 Rf8 g8=B a5 Bxe6 Rc8 Qh5+ Rf7 Qxf7#,2rqk3/1p3Q1p/2pbBp2/p7/3BP3/2NB4/PPP3PP/R3K2R b KQ - 0 17
Black,40,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Rb1 Nxd4 Nxd4 exd4 f3 dxc3 Be3 cxb2 Rxb2 c6 Rxb7 Be6 Re7+ Qxe7 c3 Nxe4 fxe4 f6 exd5 cxd5 Bg1 Bf5+ Be3 Qxe3+ Kf1 Bxd3+ Qxd3 Qxd3+ Kg1 Bc5#,r3k2r/p5pp/5p2/2bp4/8/2Pq4/P5PP/6KR w kq - 2 21
White,31,b4 Nf6 Nf3 Nc6 Nc3 e5 e4 d5 d4 Bd6 Bd3 Be6 Be3 Nxe4 Ba6 Nxc3 Bxb7 f6 Bxc6+ Kf8 Qd2 exd4 Qc1 dxe3 fxe3 Rc8 g4 Kg8 Bxd5 Bf8 Bxe6#,2rq1bkr/p1p3pp/4Bp2/8/1P4P1/2n1PN2/P1P4P/R1Q1K2R b KQ - 0 16
White,55,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 Nh5 Bd3 Nf6 Be3 d5 Nxe5 Nxe5 dxe5 c6 exf6 Bd6 fxg7 f6 f3 Be6 Nxd5 cxd5 c3 dxe4 fxe4 Rf8 gxf8=R+ Kxf8 O-O Bxh2+ Kh1 Qxd3 Rxf6+ Kg8 Qxd3 Bd6 Rf8+ Kxf8 Qxd6+ Kg8 Qxe6+ Kh8 Qe5+ Kg8 g4 Rf8 Qe6+ Rf7 Rd1 Kh8 Qe8+ Rf8 Qxf8#,5Q1k/pp5p/8/8/4P1P1/2P1B3/PP6/3R3K b - - 0 28
Black,56,Nf3 g5 Nc3 g4 e4 Nf6 d4 Nc6 Bd3 gxf3 g3 e5 Be3 d5 Nb1 Bd6 Nc3 Be6 Rc1 Nxe4 Bxe4 f6 Bxd5 Bxd5 Nxd5 Nxd4 Qxd4 c6 Qxe5+ fxe5 c3 cxd5 O-O O-O Bxa7 Rc8 Bd4 exd4 cxd4 Rxc1 Rxc1 Qf6 Rc7 Qxd4 Rxb7 Qxb2 Rxh7 Qxa2 Rg7+ Kxg7 g4 Bxh2+ Kh1 Bd6 Kg1 Qb1#,5r2/6k1/3b4/3p4/6P1/5p2/5P2/1q4K1 w - - 4 29
Black,34,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Nxd5 Qxd5 c3 Qxd3 Bd2 Qxe4+ Be3 Bd5 Qxd5 Qxe3+ Kf1 Rf8+ Qf7+ Rxf7#,r3k3/ppp2rpp/2n5/4p3/8/2P1q3/PP4PP/R4K1R w q - 0 18
Black,46,Nf3 Nf6 Nc3 Na6 e4 Nc5 d4 e5 Bd3 Nxd3+ cxd3 d5 Be3 c6 Nxe5 Bd6 a3 Bxe5 f3 Be6 dxe5 Nxe4 fxe4 f6 Nxd5 cxd5 exd5 fxe5 Qh5+ Kf8 O-O+ Kg8 Qxh7+ Rxh7 Rf8+ Qxf8 dxe6 Rxh2 Rf1 Rxg2+ Kh1 Qxf1+ Bg1 Rxb2 d4 Qf3#,r5k1/pp4p1/4P3/4p3/3P4/P4q2/1r6/6BK w - - 1 24
Black,44,Nf3 f6 Nc3 Nc6 e4 h6 d4 e5 Qd2 d5 Bd3 Nge7 Nxe5 g6 Nxc6 Nxc6 Bb5 Bd6 Bxc6+ Ke7 Qg5 Be6 Nxd5+ Bxd5 Qxf6+ Kxf6 f3 Bxe4 Bxe4 c6 c3 Kg7 Bxh6+ Kf6 Bg7+ Kxg7 O-O Rxh2 Bxc6 Rxg2+ Kxg2 Qg5+ Kh1 Rh8#,7r/pp4k1/2Bb2p1/6q1/3P4/2P2P2/PP6/R4R1K w - - 3 23
Black,112,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Nxd5 Qxd5 Rb1 Ke7 c3 Qxd3 Qxd3 Rhf8 Qd6+ cxd6 Rf1 Rxf1+ Kxf1 Rf8+ Kg1 Rf1+ Rxf1 d5 Rf6 dxe4 Bf2 Kxf6 Bxa7 Kf7 Bd4 Nxd4 cxd4 exd4 Kh1 Kg8 b3 Bf5 Kg1 Kh8 b4 Be6 b5 Kg8 b6 Bxa2 Kh1 Be6 Kg1 Bd5 Kh1 e3 Kg1 Bxg2 Kxg2 Kh8 Kg1 Kg8 Kh1 Kh8 Kg1 h5 Kh1 Kg8 Kg1 h4 Kh1 Kh8 Kg1 Kg8 Kh1 Kh8 Kg2 Kh7 Kg1 Kg8 Kh1 Kf8 Kg1 Kg8 Kh1 Kh8 Kg1 g6 Kh1 Kg8 Kg1 g5 Kg2 h3+ Kg1 g4 Kh1 g3 Kg1 e2 Kh1 e1=Q#,6k1/1p6/1P6/8/3p4/6pp/7P/4q2K w - - 0 57
Black,46,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Kd7 Nxe5+ Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Nxd5 Qh4+ Kf1 Rf8+ Nf6+ Qxf6+ Kg1 Nd4 Bxd4 c6 Bxa7 Qf2+ Bxf2 Rxa2 c3 Ke8 Qh5+ Kd8 Qxe5 Rxa1+ Be1 Rxe1+ Bf1 Be6 Qxg7 Rfxf1#,3k4/1p4Qp/2p1b3/8/4P3/2P5/1P4PP/4rrKR w - - 0 24
Black,68,d3 Nf6 Nf3 Nc6 Nc3 e5 e4 d5 Be3 Bd6 Nxe5 Bxe5 f3 Bxc3+ bxc3 Bd7 exd5 Bc8 dxc6 Be6 cxb7 c6 Be2 Qxd3 cxd3 O-O O-O Rae8 Kh1 Bxa2 Bd4 Be6 Bxf6 gxf6 Rxa7 Rd8 d4 Rb8 Bd3 Ra8 Bxh7+ Kh8 Be4 Rxa7 Bxc6 Rxb7 Bd5 Bxd5 Kg1 Bxf3 Qxf3 Kg8 Qg4+ Kh8 Qg7+ Kxg7 Rxf6 Rb1+ Rf1 Rxf1+ Kxf1 f6 Kg1 Kg8 d5 Re8 Kh1 Re1#,6k1/8/5p2/3P4/8/2P5/6PP/4r2K w - - 3 35
